"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92417","@Smoke Complete Hackathon - All Scenarios in Sequence","firefox","2026-04-07","failed","2026-04-07","Hackathon Project - Complete Test Suite","hackathonProject.spec.ts","",""
"","71967","@Smoke Complete Hackathon - All Scenarios in Sequence","chromium","2026-04-07","passed","2026-04-07","Hackathon Project - Complete Test Suite","hackathonProject.spec.ts","",""
